Epoch,Step,Loss,Accuracy,Validation Accuracy
1,1550,4.4676,0.0312,07:01:48
1,1560,4.7000,0.0625,01:43:23
1,1570,4.4932,0.0312,02:26:32
1,1580,4.5263,0.0000,02:26:21
1,1590,4.3103,0.0312,00:20:03
1,1600,4.5827,0.0938,00:33:08
1,1610,4.3956,0.1562,01:11:03
1,1620,4.2685,0.1562,04:04:37
1,1630,4.6742,0.0000,04:57:46
1,1640,4.5998,0.0625,03:05:55
1,1650,4.5946,0.0000,05:02:41
1,1660,4.7365,0.0312,03:48:38
1,1670,4.7356,0.0625,06:01:25
1,1680,4.2792,0.1250,04:56:34
1,1690,4.6035,0.0000,07:00:34
1,1700,4.4979,0.0000,04:50:34
1,1710,4.3690,0.0625,05:28:40
1,1720,4.7401,0.0000,09:17:25
1,1730,4.4986,0.0625,07:51:29
1,1740,4.8691,0.0625,07:43:32
1,1750,4.7399,0.0625,02:52:56
1,1760,4.6097,0.1250,04:44:48
1,1770,4.6649,0.0312,13:15:24
1,1780,4.8342,0.0000,06:55:40
1,1790,4.5883,0.0312,10:42:17
1,1800,4.7326,0.0000,15:22:06
1,1810,4.7087,0.0312,10:09:24
1,1820,4.6440,0.0625,09:20:00
1,1830,4.6601,0.0000,08:08:58
1,1840,4.6034,0.0000,06:50:46
1,1850,4.6119,0.0000,03:58:02
1,1860,4.6045,0.0000,09:10:41
1,1870,4.5984,0.0000,02:58:32
1,1880,4.6150,0.0000,04:37:03
1,1890,4.5693,0.0000,04:27:27
1,1900,4.6515,0.0000,04:07:21
1,1910,4.5661,0.0312,08:58:20
1,1920,4.6616,0.0000,03:27:33
1,1930,4.7466,0.0000,04:09:30
1,1940,4.8085,0.0000,18:08:21
1,1950,4.6563,0.0000,07:47:15
1,1960,4.5822,0.0000,02:41:04
1,1970,4.6407,0.0000,05:12:14
1,1980,4.6949,0.0000,06:39:42
1,1990,4.7720,0.0000,09:26:23
1,2000,4.8110,0.0000,05:41:05
1,2010,4.7100,0.0000,05:33:24
1,2020,4.6429,0.0000,04:50:14
1,2030,4.6289,0.0000,05:40:57
1,2040,4.6583,0.0000,03:55:12
1,2050,4.6348,0.0000,04:09:14
1,2060,4.4700,0.0000,06:46:26
1,2070,4.2773,0.0000,06:17:32
1,2080,4.2585,0.1250,06:22:45
1,2090,4.5900,0.0625,11:23:04
1,2100,4.4286,0.1562,04:34:37
1,2110,4.3481,0.1250,07:54:31
1,2120,4.7110,0.0938,06:40:27
1,2130,4.8193,0.0312,02:44:02
1,2140,4.8210,0.0312,10:19:20
1,2150,4.6867,0.0312,07:42:23
1,2160,4.7742,0.0000,04:47:43
1,2170,4.6532,0.0312,08:20:16
1,2180,4.7346,0.0000,05:21:31
1,2190,4.7562,0.0000,06:49:18
1,2200,4.8202,0.0000,07:38:51
1,2210,4.7991,0.0000,09:06:32
1,2220,4.7252,0.0000,09:40:41
1,2230,4.7101,0.0000,07:18:53
1,2240,4.7168,0.0000,07:06:27
1,2250,4.7839,0.0000,09:51:34
1,2260,4.7908,0.0000,04:17:32
1,2270,4.7453,0.0000,05:09:08
1,2280,4.7308,0.0000,08:51:20
1,2290,4.7127,0.0000,05:57:11
1,2300,4.7323,0.0000,07:34:42
1,2310,4.7409,0.0000,10:42:15
1,2320,4.7531,0.0000,07:49:07
1,2330,4.7450,0.0000,07:00:05
1,2340,4.7399,0.0000,09:14:28
1,2350,4.7201,0.0000,04:15:46
1,2360,4.7031,0.0000,04:34:45
Epoch 1, Average Loss: 4.3007, Average Accuracy: 0.1688 (16.88%), Validation Accuracy: 0.0082
2,0,4.5534,0.0000,07:53:17
2,10,4.5445,0.0625,07:09:32
2,20,4.5158,0.0625,01:28:54
2,30,4.4584,0.1875,05:17:03
2,40,4.3889,0.2812,00:10:53
2,50,4.2852,0.1875,23:02:01
2,60,3.9968,0.2812,22:26:46
2,70,3.8177,0.2188,03:28:55
2,80,3.7854,0.1250,01:31:51
2,90,3.7586,0.1875,21:41:34
2,100,3.6919,0.2812,02:32:17
2,110,3.0617,0.2188,01:33:15
2,120,2.6825,0.4688,04:48:43
2,130,2.3714,0.3125,00:45:02
2,140,2.6130,0.3438,21:58:16
2,150,2.2786,0.3438,04:58:33
2,160,2.7208,0.3750,00:19:38
2,170,2.3074,0.4688,02:40:45
2,180,2.6757,0.4062,21:45:50
2,190,2.7843,0.4062,03:48:44
2,200,2.9609,0.1875,00:44:53
2,210,2.5845,0.1875,08:27:55
2,220,3.0498,0.3750,06:47:45
2,230,2.8291,0.2188,02:06:36
2,240,3.0765,0.1562,03:36:19
2,250,3.1978,0.0938,05:03:45
2,260,2.7779,0.2812,10:20:17
2,270,2.2523,0.3438,04:11:48
2,280,2.2425,0.3438,05:22:27
2,290,3.2522,0.2188,14:34:01
2,300,2.8473,0.2500,04:31:46
2,310,3.0316,0.2500,07:08:18
2,320,2.9336,0.2500,11:52:00
2,330,2.8532,0.2500,04:36:09
2,340,2.5205,0.4375,06:02:47
2,350,2.6602,0.1562,05:09:11
2,360,2.8345,0.2500,06:46:48
2,370,2.7326,0.2500,04:26:44
2,380,3.0458,0.2812,03:17:17
2,390,2.4095,0.4375,03:07:10
2,400,2.8132,0.2500,02:36:54
2,410,2.5327,0.3125,03:29:00
2,420,2.5965,0.3438,08:05:07
2,430,2.8630,0.2188,09:02:46
2,440,2.4416,0.3438,04:43:31
2,450,1.9639,0.4688,13:39:23
2,460,2.5598,0.2188,07:24:51
2,470,2.5970,0.3750,05:49:21
2,480,2.5656,0.3125,08:26:51
2,490,2.8693,0.2188,10:49:58
2,500,2.8840,0.1875,12:59:15
2,510,2.9060,0.3125,02:53:48
2,520,3.0251,0.4062,05:03:11
2,530,2.9456,0.1562,06:58:44
2,540,2.9614,0.1875,05:48:02
2,550,2.9957,0.2188,06:31:14
2,560,2.6344,0.3750,10:14:00
2,570,2.8516,0.2500,10:39:20
2,580,2.4848,0.3125,05:31:03
2,590,3.0384,0.2500,05:35:50
2,600,2.6738,0.2812,06:47:29
2,610,2.4978,0.1250,05:21:54
2,620,2.7194,0.2188,07:52:42
2,630,2.8498,0.1562,06:27:26
2,640,3.1791,0.1875,06:47:57
2,650,2.8334,0.1562,14:26:10
2,660,3.2874,0.0625,01:06:26
2,670,2.7073,0.3750,10:25:42
2,680,3.0321,0.2500,06:35:49
2,690,2.8014,0.2500,06:59:51
2,700,2.5208,0.1875,06:15:29
2,710,3.1755,0.3438,07:46:30
2,720,3.3228,0.1875,07:39:44
2,730,2.8348,0.3125,07:21:07
2,740,2.9450,0.0312,01:26:33
2,750,2.5456,0.2500,02:46:18
2,760,1.7539,0.5625,06:17:26
2,770,2.7154,0.4062,02:18:00
2,780,2.8636,0.3750,05:08:07
2,790,2.5364,0.4062,03:22:34
2,800,3.2451,0.4375,07:17:39
2,810,3.9020,0.1875,02:21:54
2,820,2.9404,0.3125,03:45:05
2,830,2.9469,0.2500,04:44:25
2,840,3.0825,0.1250,04:57:29
2,850,3.3445,0.1250,07:23:23
2,860,2.5754,0.2500,04:05:57
2,870,3.3787,0.1562,04:11:07
2,880,3.5885,0.0938,06:10:17
2,890,3.0822,0.0625,04:27:24
2,900,2.9467,0.2188,05:50:41
2,910,2.8671,0.2812,04:11:08
2,920,2.8157,0.3125,04:23:56
2,930,2.6783,0.3750,03:29:11
2,940,2.6323,0.4062,03:40:04
2,950,2.9876,0.2812,04:13:20
2,960,3.9678,0.1250,04:33:40
2,970,3.0104,0.2500,03:26:49
2,980,3.5658,0.1562,03:46:39
2,990,3.2421,0.2188,04:24:43
2,1000,3.2898,0.1250,02:50:44
2,1010,3.5776,0.3125,04:51:53
2,1020,3.1576,0.2500,01:24:17
2,1030,2.9887,0.1875,03:54:59
2,1040,3.2210,0.1250,03:20:35
2,1050,2.8293,0.4688,05:34:47
2,1060,2.8817,0.3125,04:32:29
2,1070,3.7771,0.1250,03:44:56
2,1080,3.1793,0.2188,06:35:15
2,1090,2.7266,0.4375,06:12:55
2,1100,3.1659,0.3438,05:36:58
2,1110,3.1496,0.4062,07:28:09
2,1120,3.8579,0.1875,09:48:14
2,1130,3.2607,0.1875,08:02:05
2,1140,2.9164,0.3438,04:48:59
2,1150,2.8359,0.3125,01:02:06
2,1160,3.2902,0.2500,07:09:55
2,1170,3.9197,0.1250,05:52:23
2,1180,3.3909,0.1875,02:00:40
2,1190,3.4785,0.2188,02:15:44
2,1200,3.4344,0.2500,05:06:41
2,1210,3.1510,0.1875,02:06:16
2,1220,3.3140,0.3438,07:21:21
2,1230,3.5580,0.2500,10:21:07
2,1240,3.8498,0.0938,06:50:21
2,1250,2.9209,0.3438,06:37:23
2,1260,2.8343,0.2812,07:19:44
2,1270,3.4234,0.1875,05:41:11
2,1280,3.2092,0.1875,07:25:57
2,1290,3.5543,0.2812,08:52:37
2,1300,4.0239,0.1875,09:54:18
2,1310,3.6105,0.2188,08:32:59
2,1320,3.8316,0.1250,05:31:13
2,1330,3.6585,0.1250,05:57:23
2,1340,3.5502,0.1562,03:09:16
2,1350,3.0934,0.2188,07:41:46
2,1360,3.5501,0.1875,06:47:16
2,1370,3.8583,0.1562,04:21:23
2,1380,3.9561,0.1562,03:40:42
2,1390,3.3972,0.1562,07:16:09
2,1400,2.9626,0.3125,08:55:39
2,1410,2.8555,0.3750,05:05:46
2,1420,3.0073,0.2812,07:01:29
2,1430,3.5974,0.1562,10:05:51
2,1440,4.0499,0.0312,05:16:37
2,1450,3.5865,0.0938,09:03:39
2,1460,3.6535,0.1875,14:03:29
2,1470,3.7752,0.0938,06:20:09
2,1480,3.6396,0.2500,11:46:37
2,1490,3.9046,0.0938,04:55:29
2,1500,3.2354,0.2812,05:14:48
2,1510,3.6929,0.2188,04:50:22
2,1520,3.5395,0.2188,03:50:41
2,1530,4.1934,0.0938,23:35:50
2,1540,4.0239,0.1562,21:25:17
2,1550,3.6150,0.3438,03:03:41
2,1560,3.5088,0.2500,04:04:05
2,1570,3.3781,0.3125,11:31:12
2,1580,3.2832,0.1562,02:51:20
2,1590,2.9958,0.2500,08:10:35
2,1600,3.3468,0.2812,12:56:49
2,1610,4.0191,0.2188,12:14:58
2,1620,3.6904,0.1562,02:19:54
2,1630,3.7794,0.0938,01:14:48
2,1640,3.4824,0.1562,00:21:15
2,1650,3.8794,0.2812,01:51:26
2,1660,3.3138,0.3750,21:38:45
2,1670,4.1225,0.1875,00:53:40
2,1680,3.8682,0.1562,22:51:55
2,1690,3.7785,0.1875,20:03:45
2,1700,3.1629,0.2188,01:44:05
2,1710,3.6797,0.0938,01:44:20
2,1720,3.7403,0.1562,00:05:31
2,1730,3.9536,0.2500,20:10:03
2,1740,4.1123,0.1562,06:16:30
2,1750,4.3680,0.0312,20:42:48
2,1760,4.1509,0.1250,23:07:48
2,1770,3.6642,0.0938,00:19:54
2,1780,3.9159,0.1250,21:24:19
2,1790,3.6826,0.1875,00:53:04
2,1800,4.3785,0.1562,06:34:50
2,1810,4.1937,0.1875,05:01:36
2,1820,4.8209,0.0625,08:45:39
2,1830,4.5704,0.0938,06:27:20
2,1840,4.3895,0.0938,00:58:38
2,1850,4.1774,0.0625,04:49:30
2,1860,4.0598,0.0625,03:04:17
2,1870,4.0739,0.0938,01:28:34
2,1880,4.6247,0.0000,01:42:53
2,1890,4.0417,0.1250,02:33:29
2,1900,4.2772,0.0312,05:19:24
2,1910,4.2035,0.0312,01:23:50
2,1920,4.0973,0.0000,06:06:24
2,1930,3.9214,0.0000,03:08:33
2,1940,4.4644,0.0312,05:32:54
2,1950,4.0735,0.0938,00:59:33
2,1960,4.0197,0.0312,02:19:22
2,1970,3.9902,0.0938,09:40:38
2,1980,3.7401,0.2188,04:27:31
2,1990,3.8358,0.1562,04:32:17
2,2000,4.2905,0.0625,11:09:23
2,2010,4.1611,0.0938,11:49:53
2,2020,3.9171,0.1562,02:31:35
