Epoch,Step,Loss,Accuracy,Validation Accuracy
1,1550,4.6621,0.0000,12:35:32
1,1560,4.6441,0.0000,08:45:47
1,1570,4.6190,0.0000,08:07:25
1,1580,4.6551,0.0000,10:30:14
1,1590,4.6230,0.0000,07:35:37
1,1600,4.6096,0.0000,09:28:12
1,1610,4.5152,0.0000,12:38:30
1,1620,4.5452,0.0000,07:33:05
1,1630,4.5991,0.0625,09:12:38
1,1640,4.7956,0.0000,12:12:43
1,1650,4.7434,0.0000,11:14:57
1,1660,4.6742,0.0625,11:44:09
1,1670,4.7754,0.0312,11:22:16
1,1680,4.7350,0.0000,09:39:46
1,1690,4.7104,0.0000,08:58:49
1,1700,4.5980,0.0000,09:02:05
1,1710,4.6292,0.0000,09:29:22
1,1720,4.5297,0.0000,11:37:20
1,1730,4.4990,0.0312,10:23:47
1,1740,4.6126,0.0625,09:29:00
1,1750,4.8224,0.0000,10:38:16
1,1760,4.7011,0.0000,12:46:43
1,1770,4.6221,0.0000,15:12:10
1,1780,4.6966,0.0000,09:31:10
1,1790,4.6908,0.0000,07:37:33
1,1800,4.7088,0.0000,07:34:07
1,1810,4.6581,0.0000,08:56:18
1,1820,4.5777,0.0312,09:33:15
1,1830,4.5709,0.0000,07:14:35
1,1840,4.5849,0.0000,12:51:38
1,1850,4.6466,0.0000,11:47:38
1,1860,4.6344,0.0000,10:21:31
1,1870,4.7185,0.0000,09:41:39
1,1880,4.6274,0.0000,12:12:13
1,1890,4.7760,0.0000,10:56:44
1,1900,4.6928,0.0000,09:15:39
1,1910,4.7509,0.0000,09:16:11
1,1920,4.6965,0.0000,08:16:33
1,1930,4.7083,0.0000,07:22:18
1,1940,4.6622,0.0000,07:41:14
1,1950,4.7075,0.0000,08:43:21
1,1960,4.6536,0.0000,07:18:54
1,1970,4.7203,0.0000,11:10:13
1,1980,4.7464,0.0000,10:51:21
1,1990,4.6768,0.0000,11:10:18
1,2000,4.8098,0.0000,08:15:07
1,2010,4.7056,0.0000,14:22:25
1,2020,4.6715,0.0000,11:40:11
1,2030,4.6804,0.0000,09:17:37
1,2040,4.7090,0.0000,05:36:02
1,2050,4.7396,0.0000,10:34:18
1,2060,4.7631,0.0000,04:44:21
1,2070,4.7386,0.0000,09:23:56
1,2080,4.7355,0.0000,09:04:02
1,2090,4.7185,0.0000,06:06:25
1,2100,4.7024,0.0000,08:44:35
1,2110,4.7144,0.0000,09:14:02
1,2120,4.7034,0.0000,11:25:02
1,2130,4.6977,0.0000,15:39:49
1,2140,4.7179,0.0000,06:52:32
1,2150,4.7209,0.0000,08:08:51
1,2160,4.7271,0.0000,10:44:00
1,2170,4.7418,0.0000,08:04:09
1,2180,4.7562,0.0000,07:13:17
1,2190,4.7540,0.0000,10:32:07
1,2200,4.7285,0.0000,08:59:31
1,2210,4.7252,0.0000,12:18:35
1,2220,4.7164,0.0000,13:14:31
1,2230,4.7183,0.0000,12:13:03
1,2240,4.7231,0.0000,08:35:05
1,2250,4.7177,0.0000,10:20:33
1,2260,4.7210,0.0000,09:49:45
1,2270,4.7167,0.0000,10:35:20
1,2280,4.7180,0.0000,08:34:52
1,2290,4.7220,0.0000,08:56:58
1,2300,4.7212,0.0000,11:03:17
1,2310,4.7198,0.0000,11:26:17
1,2320,4.7222,0.0000,08:09:36
1,2330,4.7278,0.0000,09:18:29
1,2340,4.7231,0.0000,06:04:53
1,2350,4.7206,0.0000,07:45:29
1,2360,4.7137,0.0000,07:48:43
Epoch 1, Average Loss: 4.3348, Validation Accuracy: 0.0096
2,0,4.5574,0.5625,21:18:08
2,10,4.5579,0.3438,10:41:56
2,20,4.5533,0.2812,08:06:02
2,30,4.5513,0.2812,13:21:16
2,40,4.5424,0.2812,13:56:35
2,50,4.5443,0.3125,08:13:46
2,60,4.5330,0.2500,10:55:47
2,70,4.5309,0.0938,07:45:05
2,80,4.5026,0.1562,05:17:58
2,90,4.4483,0.1250,06:56:25
2,100,4.3834,0.1250,11:52:26
2,110,4.2538,0.2188,12:01:19
2,120,3.9428,0.2500,07:02:09
2,130,3.3083,0.2188,06:52:36
2,140,3.1681,0.2188,12:15:01
2,150,2.6361,0.4062,12:19:10
2,160,2.2215,0.5000,05:14:51
2,170,2.7191,0.4062,07:29:16
2,180,2.4489,0.5312,08:35:10
2,190,3.4356,0.2500,10:11:38
2,200,2.8295,0.2812,06:40:29
2,210,2.7700,0.2188,04:59:30
2,220,2.8037,0.3125,05:24:02
2,230,2.5941,0.3125,07:32:30
2,240,2.7939,0.3438,07:38:10
2,250,2.7974,0.0938,09:36:08
2,260,3.0163,0.3125,09:22:25
2,270,2.6419,0.2812,07:18:18
2,280,2.5508,0.2500,04:46:44
2,290,2.3840,0.3750,05:23:06
2,300,2.1918,0.4062,17:13:07
2,310,3.0237,0.3125,03:59:31
2,320,3.0178,0.1562,05:18:20
2,330,3.6874,0.1562,07:37:51
2,340,3.4635,0.2500,05:57:02
2,350,2.9700,0.2500,07:25:43
2,360,2.8192,0.1562,06:35:01
2,370,2.7306,0.3125,06:08:34
2,380,2.4902,0.3438,06:26:24
2,390,2.4949,0.2812,06:25:51
2,400,2.4934,0.3750,15:44:28
