epoch,accuracy,loss,val_accuracy,val_loss
0,0.0819622352719307,4.821554183959961,0.27127575874328613,3.927935838699341
1,0.3036049008369446,3.5791966915130615,0.5045958757400513,2.7082359790802
2,0.4274131655693054,2.888230085372925,0.5949286818504333,2.1704678535461426
3,0.5006206035614014,2.5157594680786133,0.6568542122840881,1.8530470132827759
4,0.5444209575653076,2.2873008251190186,0.6835578680038452,1.699040412902832
5,0.579915463924408,2.1145427227020264,0.7114104628562927,1.5539336204528809
6,0.6064439415931702,1.9779419898986816,0.7259508967399597,1.4614982604980469
7,0.6259474158287048,1.868057370185852,0.7366482019424438,1.3961601257324219
8,0.6438267827033997,1.7733098268508911,0.7452059984207153,1.3319776058197021
9,0.6595668792724609,1.6972821950912476,0.7556656002998352,1.271596074104309
