Epoch,Step,Loss,Accuracy,Validation Accuracy
1,1550,4.6311,0.0625,04:07:12
1,1560,4.5600,0.0000,03:42:19
1,1570,4.7220,0.0000,09:33:15
1,1580,4.5582,0.0000,03:47:42
1,1590,4.7167,0.0000,12:47:58
1,1600,4.6707,0.0000,04:09:28
1,1610,4.5149,0.0312,06:44:14
1,1620,4.5568,0.0000,04:44:47
1,1630,4.4960,0.0000,11:01:30
1,1640,4.6290,0.0312,09:05:39
1,1650,4.9212,0.0000,06:49:40
1,1660,4.6325,0.0312,06:56:13
1,1670,4.6522,0.0312,10:42:21
1,1680,4.5693,0.0000,07:29:56
1,1690,4.7008,0.0000,08:10:38
1,1700,4.5276,0.0000,11:28:25
1,1710,4.6552,0.0000,13:17:54
1,1720,4.6980,0.0312,10:05:48
1,1730,4.4983,0.0000,04:36:39
1,1740,4.6399,0.0000,08:53:06
1,1750,4.5660,0.0312,08:45:46
1,1760,4.7875,0.0000,03:29:50
1,1770,4.6524,0.0000,07:20:12
1,1780,4.6457,0.0000,08:58:59
1,1790,4.7275,0.0000,08:30:34
1,1800,4.6450,0.0000,08:21:00
1,1810,4.6524,0.0000,04:15:13
1,1820,4.6258,0.0000,06:49:51
1,1830,4.5575,0.0000,05:35:06
1,1840,4.6247,0.0000,08:48:52
1,1850,4.7151,0.0000,12:34:37
1,1860,4.6661,0.0000,08:52:21
1,1870,4.6902,0.0000,04:17:03
1,1880,4.6155,0.0000,08:57:34
1,1890,4.6281,0.0000,05:11:03
1,1900,4.7643,0.0000,01:04:26
1,1910,4.5874,0.0312,02:07:17
1,1920,4.7382,0.0000,00:56:59
1,1930,4.7268,0.0312,06:03:46
1,1940,4.6989,0.0000,04:08:21
1,1950,4.7264,0.0000,05:05:30
1,1960,4.7280,0.0000,02:56:46
1,1970,4.6163,0.0000,04:00:09
1,1980,4.6240,0.0000,01:49:19
1,1990,4.6055,0.0000,22:57:29
1,2000,4.6017,0.0000,23:23:38
1,2010,4.5980,0.0000,23:02:00
1,2020,4.6914,0.0000,06:27:31
1,2030,4.8466,0.0000,22:06:51
1,2040,4.6308,0.0000,05:35:31
1,2050,4.6405,0.0000,07:59:52
1,2060,4.5832,0.0000,00:47:03
1,2070,4.6378,0.0000,04:58:02
1,2080,4.6626,0.0000,02:11:49
1,2090,4.6809,0.0000,05:43:51
1,2100,4.7289,0.0000,05:01:34
1,2110,4.7179,0.0000,07:23:42
1,2120,4.7817,0.0000,07:10:59
1,2130,4.7297,0.0000,13:53:31
1,2140,4.7351,0.0000,10:29:43
1,2150,4.7372,0.0000,09:21:28
1,2160,4.7488,0.0000,07:15:49
1,2170,4.7297,0.0000,06:09:44
1,2180,4.6870,0.0000,06:31:16
1,2190,4.7462,0.0000,06:52:48
1,2200,4.7291,0.0000,07:35:37
1,2210,4.7550,0.0000,08:26:44
1,2220,4.7346,0.0000,06:18:23
1,2230,4.7322,0.0000,12:46:17
1,2240,4.7250,0.0000,05:14:54
1,2250,4.7297,0.0000,07:46:32
1,2260,4.7156,0.0000,05:05:33
1,2270,4.7062,0.0000,11:32:34
1,2280,4.7498,0.0000,01:48:00
1,2290,4.7483,0.0000,05:29:32
1,2300,4.7627,0.0000,15:12:15
1,2310,4.7511,0.0000,06:42:45
1,2320,4.7312,0.0000,02:41:49
1,2330,4.7251,0.0000,04:55:41
1,2340,4.7173,0.0000,06:09:25
1,2350,4.7158,0.0000,04:31:44
1,2360,4.7053,0.0000,09:13:15
Epoch 1, Average Loss: 4.3809, Validation Accuracy: 0.0094
2,0,4.5718,0.0312,07:03:50
2,10,4.5674,0.2812,05:42:37
2,20,4.5620,0.1875,00:32:41
2,30,4.5514,0.1875,17:57:08
2,40,4.5406,0.2500,02:34:11
2,50,4.5324,0.0938,02:47:05
2,60,4.5222,0.1875,03:13:40
2,70,4.4931,0.2188,02:17:21
2,80,4.4578,0.1562,00:44:04
2,90,4.4088,0.0938,03:40:43
2,100,4.2132,0.1875,04:39:27
2,110,4.0988,0.1875,05:05:25
2,120,3.5285,0.2812,01:26:56
2,130,2.8122,0.5625,01:00:56
2,140,2.6148,0.4375,22:35:54
2,150,2.3008,0.4062,23:30:09
2,160,2.2717,0.5938,23:36:21
2,170,2.3362,0.4062,23:51:23
2,180,1.4993,0.6250,00:11:14
2,190,2.7336,0.3750,00:59:43
2,200,2.7131,0.3438,05:50:19
2,210,2.5561,0.1875,02:47:39
2,220,2.3967,0.2500,03:28:11
2,230,3.2032,0.3438,04:13:53
2,240,2.8439,0.2812,03:09:28
2,250,2.5325,0.1875,03:06:20
2,260,2.4210,0.4688,04:16:37
2,270,2.7360,0.3438,02:40:52
2,280,2.5083,0.3750,03:58:35
2,290,2.4557,0.3125,04:32:17
2,300,2.3638,0.4688,03:12:21
2,310,2.7574,0.3438,04:15:54
2,320,2.2130,0.2500,02:58:03
2,330,2.5127,0.4688,02:46:04
2,340,2.4326,0.3750,23:44:12
2,350,2.8533,0.1562,00:17:20
2,360,2.8462,0.2188,23:57:15
2,370,2.6334,0.0938,01:16:15
2,380,2.9678,0.3125,23:24:24
2,390,2.5880,0.1562,00:24:59
2,400,2.7161,0.2188,23:28:28
2,410,2.6570,0.3438,01:02:25
2,420,2.6455,0.3750,23:37:49
2,430,2.4613,0.2500,03:06:13
2,440,2.8676,0.2188,02:43:38
2,450,2.6876,0.2812,02:44:41
2,460,2.5022,0.3125,02:13:49
2,470,2.5223,0.4375,03:48:58
2,480,3.0005,0.2188,03:25:58
2,490,2.4529,0.2500,02:40:31
2,500,3.2670,0.1562,02:07:29
2,510,2.4280,0.3125,03:16:50
2,520,3.0398,0.3125,01:55:02
2,530,2.4005,0.3438,02:40:07
2,540,2.9306,0.2188,02:47:57
2,550,2.5807,0.2500,02:13:08
2,560,2.5732,0.4062,03:34:25
2,570,2.8991,0.2812,02:44:44
2,580,2.8689,0.2812,03:47:17
2,590,2.7549,0.3125,01:44:21
2,600,3.2560,0.1562,02:11:15
2,610,2.9238,0.2500,02:18:08
2,620,2.9236,0.2500,02:06:24
2,630,2.7214,0.2812,02:04:08
2,640,3.0397,0.1875,01:43:31
2,650,2.9466,0.2812,02:05:41
2,660,2.8933,0.1875,01:51:37
2,670,3.3778,0.1250,01:58:04
2,680,3.3526,0.1875,02:03:10
2,690,3.3685,0.1562,02:02:22
2,700,3.3647,0.2500,02:07:30
2,710,3.3483,0.0938,01:53:35
2,720,3.4253,0.1875,01:44:55
2,730,3.2232,0.3750,02:00:17
2,740,3.3471,0.2188,02:07:55
2,750,3.1002,0.1562,01:50:41
2,760,2.9704,0.2812,02:04:53
2,770,2.9158,0.2812,22:46:03
2,780,3.2039,0.2500,01:43:16
2,790,2.4938,0.4688,02:04:22
2,800,2.6922,0.4062,02:04:55
2,810,2.6138,0.3438,02:01:57
2,820,3.7405,0.1562,02:07:22
2,830,3.3029,0.3438,01:58:56
2,840,3.0505,0.2500,01:54:23
2,850,3.2028,0.2188,01:58:40
2,860,4.2195,0.1250,01:55:31
2,870,3.8452,0.0625,01:48:25
2,880,3.6993,0.1250,01:56:12
2,890,3.6465,0.1562,01:35:26
2,900,2.8830,0.2500,01:46:20
2,910,2.9742,0.4062,01:35:12
2,920,3.1908,0.3438,01:54:38
2,930,3.3017,0.1562,01:38:49
2,940,2.9634,0.2188,01:44:40
2,950,2.8360,0.3125,01:54:29
2,960,3.3955,0.2500,01:45:49
2,970,3.7308,0.0625,02:10:15
2,980,3.2113,0.3125,01:43:51
2,990,3.8513,0.0625,01:34:10
2,1000,3.4184,0.1250,01:54:42
2,1010,3.3304,0.2812,01:56:04
2,1020,3.4816,0.1875,01:35:49
2,1030,3.7029,0.0625,01:39:53
2,1040,2.8414,0.1875,01:47:28
2,1050,2.4251,0.3438,01:40:04
2,1060,2.4198,0.4688,01:32:16
2,1070,2.5430,0.2500,03:05:13
2,1080,2.9387,0.4062,01:38:22
2,1090,3.0932,0.2188,01:48:48
2,1100,2.4895,0.3438,01:42:08
2,1110,2.7090,0.2500,01:34:00
2,1120,3.2689,0.2500,01:59:16
2,1130,3.1333,0.2812,01:46:50
2,1140,3.0591,0.1562,01:34:48
2,1150,3.1111,0.2188,01:45:56
2,1160,3.4189,0.2188,01:48:57
2,1170,3.3891,0.1875,01:37:22
2,1180,3.3656,0.1875,01:23:52
2,1190,3.6792,0.1250,01:46:04
2,1200,3.8200,0.1875,01:41:55
2,1210,3.3988,0.2500,01:36:23
2,1220,3.2542,0.2188,01:37:35
2,1230,3.1343,0.2500,01:31:44
2,1240,3.1011,0.3125,01:23:08
2,1250,3.5546,0.0938,01:31:19
2,1260,3.1933,0.0938,02:34:16
2,1270,3.7634,0.2188,01:19:13
2,1280,3.2822,0.0938,01:36:54
2,1290,3.3332,0.3125,01:39:01
2,1300,3.6809,0.2188,01:36:39
2,1310,3.1789,0.2500,01:25:33
2,1320,3.3982,0.1875,01:51:29
2,1330,3.7695,0.0938,01:22:20
2,1340,4.1475,0.1875,01:27:04
2,1350,3.6753,0.1250,02:09:11
2,1360,4.0854,0.2188,01:36:49
2,1370,4.0288,0.2188,01:36:32
2,1380,3.4584,0.1875,01:46:09
2,1390,3.0835,0.1562,01:37:09
2,1400,3.3745,0.1875,01:27:26
2,1410,3.3643,0.2500,01:23:04
2,1420,3.4532,0.1562,01:32:48
2,1430,3.6800,0.1562,01:37:34
2,1440,3.1854,0.2188,01:52:06
2,1450,3.4185,0.0938,01:28:59
2,1460,2.7068,0.3125,01:25:29
2,1470,3.2841,0.1875,01:20:23
2,1480,3.3463,0.2500,01:40:33
2,1490,3.4242,0.1562,01:06:52
2,1500,3.5424,0.1875,01:30:16
2,1510,3.7887,0.1562,01:27:07
2,1520,3.7351,0.0938,01:27:39
2,1530,3.2810,0.1250,01:46:42
2,1540,3.0231,0.2500,01:55:21
2,1550,3.3678,0.2500,01:17:32
2,1560,3.4558,0.2188,01:12:06
2,1570,3.3833,0.3438,01:56:26
2,1580,3.4283,0.1562,01:32:13
2,1590,3.6930,0.0625,01:08:34
2,1600,3.5359,0.2188,01:26:39
2,1610,3.0058,0.2188,01:14:29
2,1620,3.5077,0.3438,01:18:16
2,1630,3.2216,0.3438,01:11:37
2,1640,4.3734,0.1875,01:11:39
2,1650,4.0028,0.1875,01:15:39
2,1660,3.5548,0.2500,01:24:14
2,1670,3.6090,0.2188,01:08:30
2,1680,3.2535,0.2500,01:11:01
2,1690,3.6181,0.1250,01:06:52
2,1700,3.4092,0.0938,01:09:51
2,1710,3.6004,0.3438,01:16:30
2,1720,2.8120,0.3750,01:27:04
2,1730,3.8092,0.1250,01:16:23
2,1740,4.0885,0.0938,01:25:55
2,1750,4.0121,0.0625,01:17:34
2,1760,3.4423,0.1250,01:29:03
2,1770,3.0148,0.3438,01:09:14
2,1780,4.5751,0.1250,01:04:25
2,1790,4.5259,0.1875,01:19:01
2,1800,4.3976,0.1250,01:12:56
2,1810,4.1512,0.0625,01:20:15
2,1820,3.6752,0.1250,01:13:48
2,1830,3.8970,0.0625,01:08:14
2,1840,3.9001,0.0938,01:22:29
2,1850,3.9462,0.1250,01:16:31
2,1860,3.7077,0.2812,01:11:10
2,1870,3.7045,0.2188,01:04:09
2,1880,3.6728,0.0938,01:31:06
2,1890,3.7506,0.0625,00:52:53
2,1900,4.2254,0.0625,00:54:37
2,1910,4.0664,0.0312,00:55:47
2,1920,4.0266,0.0625,01:16:26
2,1930,3.8979,0.1250,01:02:41
2,1940,4.4283,0.1250,01:10:39
2,1950,4.2233,0.0938,01:29:04
2,1960,4.1493,0.0938,01:18:39
2,1970,4.0916,0.1250,01:23:42
2,1980,3.9245,0.0938,02:02:48
2,1990,3.7163,0.1250,01:13:46
2,2000,3.7574,0.1250,01:19:32
2,2010,3.7125,0.0938,01:32:23
2,2020,4.2556,0.2188,01:00:21
2,2030,4.4833,0.0938,01:08:05
2,2040,4.0078,0.1250,00:56:05
2,2050,3.7164,0.1250,00:35:58
2,2060,4.1372,0.0312,00:57:37
2,2070,4.0874,0.1875,22:10:08
2,2080,4.0382,0.2188,22:40:23
2,2090,4.3320,0.3125,23:01:14
2,2100,4.2591,0.1562,23:34:29
2,2110,4.7459,0.0625,22:20:26
2,2120,4.8326,0.0625,22:24:24
2,2130,4.6362,0.0625,22:32:22
2,2140,4.4965,0.0312,23:33:44
2,2150,4.2407,0.0000,21:48:07
2,2160,4.5140,0.0000,01:29:19
2,2170,4.5435,0.0312,01:57:45
2,2180,4.1176,0.1250,01:13:34
2,2190,4.5034,0.0312,00:52:36
2,2200,4.4246,0.0312,01:26:03
2,2210,4.6696,0.0000,02:51:07
2,2220,4.9463,0.0312,01:19:19
2,2230,4.9769,0.0000,00:48:49
2,2240,4.7326,0.0312,02:57:47
2,2250,4.9271,0.0000,00:59:32
2,2260,4.6249,0.0000,01:18:01
2,2270,4.6074,0.0000,00:54:30
2,2280,4.8110,0.0000,00:40:24
2,2290,4.9253,0.0000,01:07:50
2,2300,4.8523,0.0000,01:20:40
2,2310,4.7031,0.0000,00:40:34
2,2320,4.7420,0.0000,01:11:53
2,2330,4.7045,0.0000,01:47:36
2,2340,4.6880,0.0000,00:57:32
2,2350,4.5765,0.0000,01:11:50
2,2360,4.5098,0.0000,00:20:24
Epoch 2, Average Loss: 3.5421, Validation Accuracy: 0.0127
3,0,4.4921,0.0000,00:44:05
3,10,4.3913,0.0000,00:35:18
3,20,4.2325,0.0000,00:46:43
3,30,4.1139,0.1250,00:54:09
3,40,3.7379,0.3750,00:40:12
3,50,3.5648,0.3125,00:41:24
3,60,3.5294,0.2500,00:32:36
3,70,3.1250,0.2500,00:36:49
3,80,2.9781,0.1562,00:46:33
3,90,3.0116,0.1875,00:47:49
3,100,3.2766,0.1875,00:29:21
3,110,2.9255,0.3125,00:35:41
3,120,2.7991,0.2188,00:35:16
3,130,2.3733,0.2188,00:30:39
3,140,2.6050,0.3750,00:36:48
3,150,2.1313,0.4375,00:19:53
3,160,2.1942,0.4375,00:19:21
3,170,2.6861,0.2500,00:33:22
3,180,2.5747,0.3125,00:32:44
3,190,2.7099,0.2188,00:39:38
3,200,2.3423,0.3438,00:28:42
3,210,2.1725,0.3125,00:25:30
3,220,2.6780,0.3125,23:25:13
3,230,2.5998,0.2500,00:11:57
3,240,2.8328,0.2500,00:37:39
3,250,2.0524,0.2500,00:27:36
3,260,2.3392,0.2812,00:17:23
3,270,2.1878,0.3125,00:12:50
